Question,Answer,URL,Other Info
How can I do for registration when the registration date is over?,The late registration process is given on the notice board. Please follow the instructions and contact to the department office for further help.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
I want to take extra courses next semester?,Students may apply to the Dean through Head of the department.,,
How I can extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension",,
When the courses will be offered for (Spring /Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board),,
I want to register one course with day/evening program due to some problem. Is it allowed to take?,Students can do that but have to write an application to the head of the Department. If Dean approves then it is allowed.,,
What is the process of doing duel-major?,If the student wants to do duel-major he has to communicate with the mentor or department office. The office will provide a guideline for the student which he will follow during the rest of the semester.,,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I select Supervisor for internship?,After completing your internship registration process please contact your department office to know information about your internship supervisor.,,
How can I get my result from website?,At first browse DIU website then follow the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline,,
I have two exams in same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
"How can I take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Please apply through students application system by paying 50 Taka through online payment system.,,
How can I get Internship letter?,"You must complete all theoretical subjects to start internship. Maintain at least CGPA 2.5. Take internship form from Department office. Fill up the form which will be signed by respective supervisor.. Pay fees and take Accounts
clearance. Submit to department office",,
When I will be allowed for provisional certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
How can I withdraw academic transcripts/ certificate?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You may reset the password as per forgot password option.,,
General FAQ,Click the link,,
How can I get my class routine of the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). After getting the GD paper, you have to submit it to the Admission Section. The Admission Section will give you the further instruction for getting ID card.",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section. Cell No.: +8801811458843, Email: panna@daffodilvarsity.edu.bd, Cell No.: +8801811458848, Email: scholarship1@daffodilvarsity.edu.bd",,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
What is the installment amount?,The student has to pay the fee in two installments after registration 1st installments must be paid before mid-term and the rest before the final.,,
How may I reserve class room for extra class?,Come to department office and contact with coordination officer for booking class room.,,
How I may solve DIU portal problem?,You will come to the department office and contact with coordination officer.,,
How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I change Department?,Collect a form from Registrar Office. Fill-up and collect sign from Dean and Department Head. Clear all dues and submit to Registrar Office,,
How can I change section of courses?,You have to submit application through Head of the Department-to-Department Office.,,
How to solve Multimedia/ IT related Problem?,Contact with department office.,,
What is the requirement to get a laptop?,You have to complete minimum 19 courses 41 credits successfully with SGPA 2.5 and payment should be clear up to the last semester,,
How I can transfer credit with a foreign university or interested to join in summer program?,"Please contact International Affairs Office at AB-4, Ground Floor.",,
How can I teacher/officer number.,Visit DIU website for Officer: https://daffodilvarsity.edu.bd/page/admin_page_detail/top-management. For teachers: http://faculty.daffodilvarsity.edu.bd/,,
What is the process of teaching evaluation?,Log in to student portal and update the profile. After that fill the evaluation form and submit it. If needed any help contact with admission office.,,
How to check payment ledger from student portal?,Log in to student portal and click “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,You can contact with your teacher during counseling periods.,,
Where can I find information about insurance?,Cell No.: +8801847334799. Email: zonad.accounts@daffodilvarsity.edu.bd,,
How can I get BLC related service?,Contact to Department office or Visit: https://sites.google.com/daffodilvarsity.edu.bd/diu-blc-student-guideline/guideline-for-diu-blc-moodle-students?pli=1,,
How can I get the information of DIU Transportation?,"Visit the link: https://daffodilvarsity.edu.bd/article/transport or
https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161
For more quires Contact: Cell No.: +8801847140037, Email: anisur@daffodilvarsity.edu.bd",,
What about the courses of previous syllabus? Do I registrar myself with previous code as I am a student of previous syllabus?,Students can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop the semester? (After registration),"In case after the registration, if you need to drop the semester, you have to write an application for approval and submit to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you need to check the student portal and contact to the department office to be sure about the semester drop.",,
What can I do for registration when the registartion date is over?,The late registration process is given in the notice board. Please follow the instructions and contact to the department office for further help.,,
I have already dropped three or more semesters (Without informing). Now I want to continue my study,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
I want to take extra courses next semester.,Students may apply to the Dean through Head of the department.,,
How can I extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension.",,
When the courses will be offered for (Spring/Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board).,,
What is the process of doing duel-major ?,If the student wants to do duel-major he has to communicate with the mentor or department office. The office will provide a guideline for the student which he will follow during the rest of the semesters.,,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I select Supervisor for internship?,Department will assign a supervisor when the course is offered.,,
How can I get my result from the website?,At first browse DIU website then follow the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
I have two exams in same slot. Can I attend the make - up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
Do I have to attend minimum classes to attend the examination?,Minimum 60% Classes you have to attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
"How I can take Concern, MOI, LoR, Testimonial, Migration certificate etc,",Pay 50 taka to DIU accounts and submit the application to the department with transcript and collect the documents from your department.,,
When I will be allowed for Provisional certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
7. How can I do for registration when the registration date is over?,The late registration process is given in the notice board. Please follow the instructions and contact to the department office for further help.,,
8. I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
How can i withdraw academic transcript / certificate?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
9. I want to take extra courses next semester?,Students may apply to the Dean through Head of the department.,,
10. How I can extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension",,
How can I solve the email password problem?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
11. When the courses will be offered for (Spring /Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board),,
How can I get my class routine of the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
12. I want to register one course with day/evening program due to some problem. Is it allowed to take?,Students can do that but have to write an application to the Dean through head of the Department.,,
Where can I get my scholarship / waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section. Cell No.: +8801811458843, Email: panna@daffodilvarsity.edu.bd, Cell No.: +8801811458848, Email: scholarship1@daffodilvarsity.edu.bd",,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
13. What is the process of doing duel-major?,If the student wants to do duel-major he has to communicate with the mentor or department office.The office will provide a guideline for the student which he will follow during the rest of the semesters.,,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
14. How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
What is the installment amount?,The student has to pay the fee in two installments after registration 1st installments must be paid before mid-term and the rest before the final.,,
How I may solve DIU portal problem?,You will come to the department office and contact with coordination officer.,,
How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs,,
15. How can I select Supervisor for internship?,After complete your internship registration process please contact your department office to know the information of your internship Supervisor.,,
Hoe can I change Department?,Collect a form from Registrar Office. Fill-up and collect sign from Dean and Department Head. Clear all dues and submit to Registrar Office.,,
How can I change section of courses?,You have to submit application through Head of the Department-to-Department Office.,,
How to complete the course registration? (For new Students),"Collect your account clearance by paying the registration fees/Admission fees in the Accounts Section.


Submit the filled up Student Insurance Form (given during the admission) and the account clearance to the Coordination Officer of the Department Office.


When the registration is done by the department Office, you have to check the student portal to confirm your registration.




(
http://studentportal.diu.edu.bd/login
).",,
How to complete the course registration? (For existing Students),"Collect your account clearance by paying the registration fees in the Accounts Section.


Submit it (keep a photocopy) to the adviser in your department. He/she will complete your course registration as per the rule.




After the completion, you have to check the student portal to confirm the completion of course registration.",,
How can I Change/ Add/Drop courses after the registration?,"After the registration, you may be able to Change/Add/Drop any course within 7 days after the last date of the registration. Contact your adviser.",,
What can I do to drop the semester? (before registration),"In case of a specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
What can I do to drop my semester?  (After registration).,"In case you need to drop the semester after the registration, you have to write an application to Registrar through respective advisor and head of the department and dean and submit to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you have to check the student portal (if any courses are listed for that particular semester) or contact to the department office to be sure about the semester drop.",,
I am a student of the previous syllabus. Shall I do my registration with the previous course code or will I register with the new course code?,Students of previous syllabus can do registration with previous syllabus with an application to the Head of the department.,,
What can I do for registration when the registration date is over?,"In case of the late registration, you have to write an application to Registrar through respective advisor and head of the department and submit to the department office. The signed application must be submitted to the Registrar Office for final approval. One week later you need to check the student portal (if courses are added in the particular semester) and contact to the department office to be sure about the registration.",,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact the department office. Note that there will be re-admission fee.,,
How to take extra courses in a semester?,Students will to talk to his adviser whether the course matches with his/her year of study.,,
How do I complete course registration in the semester? (For new Students),"At first you have to collect your account clearance by paying the registration fees in the Account Section and then you have to come to the department office along with your filled up Student Insurance Form (given during the admission). Then you have to submit your account clearance form and insurance form in the department office to complete your registration. After the registration, you have to check the student portal 
(http:
/
/studentportal.diu.edu.bd/login) 
to be sure about your registration.",,
How can I extend registration duration for more than six years?,You have to write an application to Registrar through respective advisor and head of the department and submit to the department office. The signed application must be submitted to the Registrar Office for final approval along with a partial transcript.,,
When the courses will be offered for (Spring /Fall) this semester?,Office will publish the courses offer on notice board. Follow the notice board. (online / department notice board),,
How can I get my admit card for Mid-Term and Final Exams?,Pay your installment (fees) and collect your exam clearance/admit card showing the money receipt from the Accounts Section. You need to preserve the exam clearance/admit card for sitting the exam.,,
How can I complete my course registration in the semester? (For existing Students.,"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
How can I Change/ Add/Drop subjects after the registration in the semester?,"After the registration, you may be able to Change/Add/Drop your subject within 7 days after the last date of the registration. To Change/Add/Drop your subject, you must meet your batch coordinator. He/she will help to complete the work.",,
What can I do to drop the semester? (Before Registration),"In case for a specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
What about the courses of the previous syllabus? Do I register myself with previous code as I am a student of the previous syllabus?,Students can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester? (After Registration),"In case after the registration, if you need to drop the semester, you have to write an application for approval and submit it to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you need to check the student portal and contact the department office to be sure about the semester drop.",,
What are the fees for the improvement exam?,As per DIU rules there is no mid-term improvement exam and students have to pay 60% for the final.,,
What can I do for registration when the registration date is over?,The late registration process is given in the notice board. Please follow the instructions and contact the department office for further help.,,
How I can give Final improvement exam?,Collect the improvement form from the department office and fill up the form. Then go to accounts section and pay required fees for improvement exam which in to be signed by accounts section for clearance. Then you submit the form to the department office.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact the department office.,,
I want to take extra courses next semester?,Students may apply to the Dean through the Head of the department.,,
How can I extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension.",,
When will the courses be offered for (Spring /Fall) this semester?,The Department office will publish the courses offered through email and notice board. Follow the notice board. (online / department notice board).,,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in the Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I select Supervisor for an internship?,Department assigns a supervisor when the course is offered.,,
How can I get my result from a website?,First browse DIU website then follows the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply for a transcript online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
I have two exams in the same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping exams.,,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How can I remove the result block?,Clear your previous dues and contact the Registrar Office/Exam Office for removal of block results.,,
How can I select a Supervisor for an internship?,Contact your Head of the Department who will assign your supervisor for internship & thesis.,,
How can I get my semester results from a website?,At first Login to your student portal then follow the right side where there is an option of Live Result & then click on & put your ID and Semester on Live Result option.,,
I have two exams in the same time slot. Can I attend the improvement of the missed exam without fee?,You can attend the improvement exam without fee in case of overlapping exams.,,
Do I have to attend a minimum number of classes to attend the examinations?,Minimum of 60% of the classes you must attend.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get your degree certificate.,,
Is there any eligibility to attend the final Improvement Exam?,Students those who got “Grade B” or less may apply for improvement,,
How can I resolve the result block?,"Clear your previous dues.




Contact with Registrar Office/Exam Office for resolving of blocked result.",,
How can I get the total result of the courses that I have completed?,Pay 50tk for Partial Transcript and 300tk for Final transcript. Login to your student portal there you will find an option to apply for Transcript & Certificate.,,
Can I improve my Design grade?,If the design teacher give permission within a limited time improvement can be submitted.,,
Can I improve my Design grade?,If the design teacher give permission within a limited time improvement can be submitted.,,
What is a Jury?,Jury is a formal process of students design project evaluation. Externals are invited to give feedback.,,
"How can I take a Recommendation Letter, Medium of Instruction, Character Certificate, Testimonial Certificate, Migration Certificate, and Eligibility Statement Certificate for job or personal purposes?","Students get all certificates through the online system using the student portal system. They are able to download their certificate soft copies from the system which is very easy for all Alumni.


***
 How you get certificates using the student application system:


☞ First, you must fill out the application body.


☞ Click the Submit Button.


☞ Pay 50 taka using any payment method.


☞ Click the status and wait.


☞ Click the Download Button to download it.
Take accounts clearance and submit to the concerned Department/Registrar Office.",,
How I get Internship letter?,"You must complete all theoretical subjects to start internship.


Maintain at least CGPA 2.5


Take internship form from Department office.


Fill up the form which will be signed by respective supervisor.


Pay fees and take Accounts clearance




Submit to department office",,
When I will be allowed for provisional certificate?,"After the completion of all required credits for the degree, you will be allowed for provisional certificate until the subsequent convocation ceremony.",,
How can I withdraw academic transcripts/ certificates?,Pay 300tk for Final transcript. Login to your student portal there you will find an option to apply for Transcript & Certificate.,,
How can I get a recommendation letter from department?,"For a Recommendation Letter, you have to pay TK. 50 to the Accounts section. Write your father’s and mother’s name on the backside of the money receipt. Then submit an application to the Head of the Department. Attach the money receipt along with the application. (Submit the soft copy of the draft recommendation letter, if any).",,
How I will get a concern letter from department?,"For a Concern Letter, you have to pay TK. 50 to the Accounts section. Write your father’s and mother’s name on the backside of the money receipt. Then submit an application to the Head of the Department. Attach the money receipt along with the application.",,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board. Also talk to coordination officer.,,
How can I solve the Email password problem?,You need to pay Tk20/- to the Account section. Then apply through “Help Desk” for a specific problem. Department office will send an email to the IT section to solve the problem and then inform you of the solution.,,
I cannot login in the student portal. How can I get access to the student portal?,The detailed information regarding the reset option of student portal password is given in the notice board of the department. Please follow the instructions.,,
How can I get my class routine for the semester?,"You can find your class routine in the departmental notice board, online notice board and in your email",,
I have lost my ID card. What can I do now?,"First, you have to go to the Police Station to do a General Dairy (GD). Also pay 300tk to the Account section. Submit the photocopy of the GD and Money receipt to the 1Card Office. The 1Card Office will give you further instructions",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information from the Registrar Office.
Concern Person: Ms. Umme Salma Panna, Senior Administrative Officer.",,
When is the payment date?,"The date of payment will be notified through the online notice board, Departmental Notice Board and through the mail.",,
How much do we need to pay in the second (before mid-term) and third (before final) installment?,"You have already paid the registration fees in the beginning of the semester.  Now, multiply the 
number of credits
 you have registered in the current semester with 
per credit tuition fees
 for your program. The result is the total amount you have to pay in two equal parts in the time of mid-term and final exams respectively.  Amount decided by the accounts office.


You can also ask the respective officers of the Account Section and/or you can check the Ledger in the Students’ Portal",,
How may I reserve a room for extra class?,Come to the department office and contact the coordination officer for booking a class room through Rbrms system.,,
How may I get a scholarship from foreign university?,Call for Applications for different scholarship opportunities are regularly posted in the Notice Board and social media Pages of DIU International Affairs. See the regular updates and check your student e-mail. Contact with the officials of the office of the DIU International Affairs for further information and clarifications.,,
How can I change the Department/Program?,Collect the Department Change Form from the Registrar Office or Admission Office. Fill-up and collect signs from respective Deans and Heads. Clear all dues and submit the form to the Registrar Office for approval.,,
How can I change the course section?,Contact the department office.,,
How to solve Multimedia/ IT related problems?,Contact the department office.,,
What are the requirements to get a Laptop from university?,You have to complete at least 4 semesters successfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How can I transfer credit with a foreign university?,Please contact International Affairs Office at AB-4 level 1.,,
How can I join in International Summer Programs?,Please contact International Affairs Office at AB-4 level 1.,,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website


Officers: 
https://daffodilvarsity.edu.bd/department/ce/contact-us


Teachers: 
https://faculty.daffodilvarsity.edu.bd/teachers/ce.html",,
What is the process of teaching   evaluation?,"Login to the student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
How to check payment ledger from student portal?,Login to the student portal and click the “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
Where can I find information about insurance?,"Contact Mr. Zonador Rahman ,Accounts Officer, Cell: 
01847334799
zonad.accounts@daffodilvarsity.edu.bd",,
How can I login to the BLC?,Contact department office.,,
Who bear the Model Making cost?,Student pay the cost.,,
Does department organize field tour.,Department organize need based field tour.,,
Can I end B.Arch before five years?,"No, you need five years to complete.",,
Does department manage internship,Department assist the internship process.,,
"How I can take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 taka to DIU accounts and submit the application to the department with a transcript and collect the documents from your department.,,
When will I be allowed a provisional certificate?,When you complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
How can I withdraw academic transcripts/ certificates?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay =20/- to the account section and fill the register book from the department office for specific problems. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You may reset the password as per forgot password option.,,
How can I get my class routine for the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
I have lost my ID card. What can I do now?,"First, you have to go to the Police Station to do a General Diary (GD). After getting the GD paper, you have to submit it to the Admission Section. The Admission Section will give you further instructions for getting an ID card.",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in the scholarship/waiver section. Cell No.: +8801811458843, Email: panna@daffodilvarsity.edu.bd, Cell No.: +8801811458848, Email: 
scholarship1@daffodilvarsity.edu.bd",,
When is the payment date?,Students will be notified the date of payment by online notice board/offline notice board and also by email.,,
What is the installment amount?,The student has to pay the fee in two installments after registration. 1st installments must be paid before mid-term and the rest before the final.,,
How may I reserve a room for extra class?,Come to the department office and contact the coordination officer for booking class room.,,
How do I solve the DIU portal problem?,You will come to the department office and contact the coordination officer.,,
How may I get a scholarship from foreign university?,Keep updating yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I change departments?,Collect a form from the Registrar Office. Fill-up and collect signs from the Dean and Department Head. Clear all dues and submit them to the Registrar Office.,,
How can I change the section of courses?,You have to submit an application through the Head of the Department-to-Department Office.,,
How to solve Multimedia/ IT related problems?,Contact with the department office.,,
What is the requirement to get a laptop?,You have to complete a minimum 16 courses 48 credits successfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How can I transfer credit with a foreign university or be interested in a summer program?,"Please contact the International Affairs Office at AB-4, Ground Floor.",,
How can I get a teacher/officer number?,"Visit DIU website for Officer: https://daffodilvarsity.edu.bd/page/admin_page_detail/top-management. For teachers: 
http://faculty.daffodilvarsity.edu.bd/",,
What is the process of teaching evaluation?,"Log in to the student portal and update the profile. After that, fill the evaluation form and submit it. If you need any help, contact the admission office.",,
How to check payment ledger from student portal?,Log in to student portal and click “payment” option for student payment ledger and payment scheme.,,
Can I meet with my course teacher outside the class period?,You can contact your teacher during counseling periods.,,
Where can I find information about insurance?,"Cell No.: +8801847334799. Email: 
zonad.accounts@daffodilvarsity.edu.bd",,
How can I get BLC related services?,"Contact to Department office or Visit: 
https://sites.google.com/daffodilvarsity.edu.bd/diu-blc-student-guideline/guideline-for-diu-blc-moodle-students?pli=1",,
How can I get the information about DIU Transportation?,"Visit the link: https://daffodilvarsity.edu.bd/article/transport or


https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161


For more queries Contact: Cell No.: +8801847140037, Email: 
anisur@daffodilvarsity.edu.bd",,
General FAQ,https://daffodilvarsity.edu.bd/faq,,
How to solve Multimedia / IT related problem?,Contact with department office.,,
How do I complete course registration in the semester? (For new Students),"At first you have to collect your online account clearance by paying the registration fees in Account Section and then you have to contact Department office to complete your registration process. After the registration you have to check the 
STUDENT PORTAL
 to be sure about your registration",,
What can I do for registration when the registration date is over?,The late registration process is given in the notice board. Please follow the instructions and contact to the department office for further help.,,
How can I get my exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
When the courses will be offered for (Spring /Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board).,,
How can I get my result from website?,At first browse DIU website then follow the right side where there is an option of virtual university then click onput your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
Do I have to attend minimum classes to attend the exam?,Minimum 60% Classes you have to attend.,,
"How can I take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 Taka to DIU accounts and submit the application to the department office with transcript and money receipt then collect the documents from your department.,,
Where can I get my scholarship/ waiver information?,"You can get your scholarship/ waiver in scholarship/ waiver section.


Cell no. +8801811458843


Email: 
scholarship@daffodilvarsity.edu.bd, 


scholarship1@daffodilvarsity.edu.bd",,
What is the ISLM department?,"The ISLM department focuses on the study of information science, library management, and related disciplines. It offers programs that equip students with the knowledge and skills needed for careers in information technology, library science, data management, and more.",,
What are the career opportunities for ISLM graduates?,"Graduates from the ISLM department have various career opportunities, including working as librarians, information managers, data analysts, digital archivists, research analysts, and information technology specialists. They can find employment in libraries, information centers, universities, research institutions, government agencies, and private organizations.",,
How can I stay updated with the latest developments in ISLM?,"It is important to stay up-to-date with advancements and trends in the field. You can follow professional associations, such as the American Library Association (ALA), International Federation of Library Associations and Institutions (IFLA), or relevant regional or national library associations. Additionally, subscribing to scholarly journals, attending conferences, and engaging with online communities focused on ISLM can help you stay informed.",,
How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
Where can I get my scholarship/ waiver information?,"""You can get your scholarship/ waiver in the scholarship/ waiver section.
Cell no. +8801811458843, +8801811458848
Email: scholarship@daffodilvarsity.edu.bd,
scholarship1@daffodilvarsity.edu.bd""",,
"What kind of waiver one can get on admission in CSE, LLB & B.pharm programs","Only GPA 5.00 in HSC and other quota-based waivers will be considered for them. For details please visit the link: 
https://daffodilvarsity.edu.bd/scholarship",,
What benefit are you giving for freedom fighter's children?,"DIU offers full free TFW for the ward of a Freedom Fighter, in every semester among total enrolled students at DIU three percent seat is reserved for freedom fighters’ children. The students of this quota is granted full free studentship. 
https://daffodilvarsity.edu.bd/scholarship/freedom-fighters-ward",,
Do you have the waiver facilities for grand children of Freedom fighter's?,"No, we don't have yet.",,
How can I apply for freedom fighter quota?,Students can apply through the prescribed online form of financial aid and have to submit all documents to the Registrar offce for verification.,,
Should I need to maintain any result for freedom fighter quota waiver?,Yes. Students have to maintain semester result 3.00 for continuation.,,
Can a student get freedom fighter waiver both in Graduate & Masters?,No. Students getting freedom fighter waiver in under graduate program can not apply for second time in masters.,,
I am a diploma holder. Can I get freedom fighter waiver?,"Yes. Diploma holder can apply for freedom fighter quota through the prescribed form & have to maintain semester result 3.00 for continuation. 
http://financialaid.daffodilvarsity.edu.bd/?app=home",,
What is Talent Scholarship?,Daffodil International University (DIU) has introduced the Talent Scholarship Project to support meritorious and poor students to study any Undergraduate Program offered in Daffodil International University. An open competition will be held among the applicants. Selected applicants will be awarded 100% tuition fees waiver and additional scholarships for their boarding lodging under the Talent Scholarships Program. Newly admitted International students are eligible to participate in the competition,,
What are the benefits of Talent scholarship?,"The scholarships will be of 3 (three) categories as follows: 1st Category: They will be given 100% tuition fee waiver along with an additional stipend at a rate of Tk. 5,000/- per month to support their other university fees and boarding and lodging. 2nd Category: They will be provided 100% tuition fee waiver along with an additional stipend at a rate of Tk. 3,000/- per month to support their other university fees and boarding and lodging. 3rd Category: They will be provided 100% tuition fee waiver and an additional stipend at a rate of Tk. 2,000/- per month to support related educational expenses.",,
